pays,question,choix_a,choix_b,choix_c,bonne,explication
Kazakhstan,Quelle place le Kazakhstan occupe-t-il par sa taille ?,Le plus petit du monde,Le 9e plus grand du monde,Une petite île,b,"Immense et presque vide : l'un des pays les moins peuplés au km²."
Kazakhstan,D'où décollent les fusées qui emmènent les astronautes dans l'espace ?,Du désert kazakh (Baïkonour),De Paris,De la Lune,a,"Le tout premier homme dans l'espace est parti d'ici en 1961."
Kazakhstan,Quel fruit serait originaire des montagnes près d'Almaty ?,La banane,La pomme,L'ananas,b,"Le nom ''Almaty'' veut dire ''plein de pommes''."
Kazakhstan,Dans quelle ville la famille atterrit-elle en tout premier ?,Astana,Almaty,Pékin,b,"Almaty est votre porte d'entrée en Asie centrale."
Kirghizistan,Quelle part du Kirghizistan est couverte de montagnes ?,Presque tout (90%),La moitié,Rien du tout,a,"Un pays-montagne, royaume des randonneurs et des bergers."
Kirghizistan,Où vivent les nomades kirghizes pendant l'été ?,Dans un château,Dans une yourte,Dans un sous-marin,b,"Une grande tente ronde qu'on démonte pour suivre les troupeaux."
Kirghizistan,Quelle est la particularité du lac Issyk-Kul ?,Il est minuscule,Il ne gèle jamais malgré l'hiver,Il est rose,b,"L'un des plus grands lacs d'altitude du monde."
Kirghizistan,Quel animal aide les Kirghizes à chasser ?,Un aigle dressé,Un dauphin,Un pingouin,a,"Vous croiserez peut-être les fauconniers pendant votre tour."
Mongolie,Quel chef mongol a fondé le plus grand empire de l'histoire ?,Napoléon,Gengis Khan,Jules César,b,"Au XIIIe siècle, de la Chine jusqu'aux portes de l'Europe."
Mongolie,En Mongolie il y a plus de… que d'habitants.,Voitures,Chevaux,Avions,b,"C'est le pays le moins peuplé du monde au km²."
Mongolie,Comment s'appelle la tente ronde des nomades mongols ?,Un igloo,Une ger (yourte),Un tipi,b,"On la démonte et la remonte au fil des saisons."
Mongolie,Quel peuple la famille va-t-elle rencontrer dans le nord ?,Les éleveurs de rennes Tsaatan,Les pirates,Les Vikings,a,"Sept jours de tour à la rencontre des Tsaatan."
Chine,Quelle est la plus longue construction humaine au monde ?,La tour Eiffel,La Grande Muraille de Chine,Un pont,b,"Plus de 20 000 km de murailles."
Chine,Lequel de ces objets a été inventé en Chine ?,Le papier,La pizza,Le football,a,"Comme la boussole, la poudre et l'imprimerie."
Chine,Quel animal noir et blanc ne vit à l'état sauvage qu'en Chine ?,Le pingouin,Le panda géant,La vache,b,"Symbole du pays, il ne mange presque que du bambou."
Chine,Quelles montagnes chinoises ont inspiré le film Avatar ?,Zhangjiajie,L'Himalaya,Les Alpes,a,"Vous allez y grimper : des piliers de pierre vertigineux."
Hong-Kong,Que veut dire le nom ''Hong Kong'' ?,Grande muraille,Port parfumé,Montagne bleue,b,"Un nom hérité de son passé de port marchand."
Hong-Kong,Hong-Kong détient un record du monde de… ,Gratte-ciel,Déserts,Volcans,a,"Plus de tours que n'importe quelle ville de la planète."
Hong-Kong,Comment traverse-t-on la baie depuis plus de 100 ans ?,En Star Ferry,En montgolfière,À la nage,a,"Un petit ferry mythique, toujours en service."
Hong-Kong,Quel point de vue offre le plus beau panorama sur la ville ?,Le Victoria Peak,La tour Eiffel,Le Mont Blanc,a,"C'est au programme de votre escale."
Malaisie,Comment s'appellent les célèbres tours jumelles de Kuala Lumpur ?,Petronas,Eiffel,Pise,a,"Longtemps les plus hautes tours du monde."
Malaisie,Combien de grandes cultures cohabitent en Malaisie ?,Une seule,"Trois (malaise, chinoise, indienne)",Aucune,b,"D'où une cuisine et des fêtes incroyablement variées."
Malaisie,Quel âge a la forêt tropicale de Malaisie ?,10 ans,Environ 130 millions d'années,100 ans,b,"L'une des plus vieilles forêts de la planète."
Malaisie,Pour la famille Kuala Lumpur sert surtout de… ,Destination finale,Point de transit vers l'Indonésie,Station de ski,b,"Vous y faites escale plusieurs fois pour rebondir d'île en île."
Indonésie,Combien d'îles compte environ l'Indonésie ?,175,17 500,175 000,b,"Le plus grand archipel du monde."
Indonésie,Quel reptile géant ne vit que dans cette région du monde ?,Le crocodile du Nil,Le dragon de Komodo,L'iguane,b,"Jusqu'à 3 mètres de long, vous irez le voir à Komodo."
Indonésie,Pourquoi l'Indonésie a-t-elle autant de volcans ?,Elle est posée sur la ceinture de feu,Il y fait très chaud,À cause des marées,a,"Environ 130 volcans actifs, un record mondial."
Indonésie,Où la famille va-t-elle voir des grands singes roux sauvages ?,À Bali,Dans la jungle de Sumatra,À Shanghai,b,"Les orangs-outans de Bukit Lawang."
